intervene     v.（为防止或改变某事件结果或过程）插入，插手，介入；干预，干涉
consequent     adj.随之发生的, 作为结果的; 合乎逻辑的; 逻辑上一致的
exert     v.尽（力）；运用，行使；施加（影响）；发挥
versatile     adj.多才多艺的，多方面的，多用途的
layer     n.层，覆盖层，涂层；层次, 表层, 阶层
brace     v.绷紧; 顶住; 使防备; 加固; 振作精神, 做好准备
predominant     adj.占优的，占主导地位的；显著的；盛行的
inevitably     adv.必然发生地；不可避免地
heel     n.脚后跟，踵，后跟
curse     v.诅咒；咒骂
enroll     v.注册；登记；报名；招收；（使）加入
thrill     v.使兴奋, 使激动；使颤动；震颤；感到非常兴奋；感到紧张
sample     n.【统计】样本；标本，样品；试样（尤指分发给可能成为顾客的人的试用品或赠品）
flat     adj.无坡度的，平坦的；水平的；扁平的；（市场、价格等）疲软的，萧条的
revision     n.修改，修正，修订；修订本，订正版
batch     n.一批，一组，一群；一批生产量
slack     adj.松弛的；（生意，交易）萧条的，不活跃的，清淡的；懈怠的
magnificent     adj.壮丽的，华丽的；极好的
immigrant     n.移民，侨民
glaring     adj.耀眼的，刺目的
spouse     n.配偶
indispensable     adj.不可或缺的
overcome     vt.解决（问题）；克服（困难）；战胜；受到…的极大影响
pessimistic     adj.悲观（主义）的
mediate     v.经调解解决；经斡旋促成；调解；斡旋
disorder     n.（身体）失调；（精神）失常；疾病；异常；混乱；骚乱，动乱
cosmonaut     n.宇航员
cliff     n.悬崖，峭壁
invisible     adj.看不见的，无法看到的；不被注意的，不受重视的，被视为无足轻重的
device     n.（尤指机械或电子）装置；（有特定目的的）计划，方式，诡计
rot     n.腐烂，腐朽
economic     adj.（学科）与经济相关的；（与）经济（有关）的，经济上的
overlook     v.俯瞰；忽视，忽略；看漏；不理会
turkey     n.火鸡，火鸡肉
tribute     n.致敬，颂词；表示感激（或敬意、爱慕）的行动（或言语）；礼物
cathedral     n.大教堂
prominent     adj.显眼的，显著的；突出的，杰出的；重要的；卓越的，著名的
race     n.（具有相同文化、历史和语言等特征的）种族，群体；族群；人种，种族；民族；竞赛，竞争；赛跑；种族归属；种族气质，特征
reclaim     v.开垦；感化；取回
minority     n.少数；少数民族
volume     n.量, 额; 体积; 容积, 容量; 音量; 卷, 册; 合订本; 大量, 许多
factor     n.因素；要素；因子；系数
dwarf     adj.矮小的
poisonous     adj.（物质，植物）有毒的；（动物）有毒的；分泌毒素的，能毒伤人的
bizarre     adj.奇形怪状的；怪诞的
intestine     n.肠
loom     v.隐约地出现; 赫然耸现; (战争、威胁等)阴森地逼近; 在织机上织
odor     n.气味
shrink     v.（使）缩水；变小；减少；（尤指人的脸部或其他身体部位因衰老或疾病而）萎缩；起皱纹；皱缩；（使）退缩；（使）畏缩；（使）贬值；回避
persuasion     n.说服，劝说；信念，信仰
disregard     v.忽视，不顾，不理会
differentiate     v.区分，区别；使不同，使有差异
mock     v.嘲笑；（模仿）嘲弄；不尊重；蔑视
perspective     n.（观察问题的）视角；观点，看法；透视
convince     v.说服，使…相信
stabilize     v.（使）稳定；（使）稳固；巩固
confirm     vt.证实，确定（相信，怀疑的事）；批准
description     n.（人或物的）类别；描述；描写；形容
hybrid     n.杂交生成的生物体，杂交植物（或动物）；混合物，合成物；油电两用车
exhausted     adj.筋疲力尽的，疲惫不堪的
kin     n.亲属，家属
triple     v.使增至三倍，使成三倍
indicative     adj.表示的，显示的；暗示的，象征的； 陈述的，指示的
strive     v.努力，奋斗，力争
offensive     adj.冒犯的；极其讨厌的；令人不适的；攻击性的；进攻型的
mansion     n.大厦，豪宅，楼宇
expenditure     n.经费；费用；开支；使用，消耗
siege     n.围攻，围困；包围，封锁
cult     n.异教，邪教；时尚，狂热的崇拜
garbage     n.（尤指生活）垃圾（或废物）；废话
reverse     v.倒，倒退；使…逆转，把…颠倒过来；撤销；彻底转变
mar     vt.破坏，毁坏
commodity     n.天然货物；天然商品；农产品；有用之物；贵重物品
rape     vt.强奸
hose     n.水管；橡皮软管；水龙带
downfall     n.垮台，衰落；垮台（或衰落等）的原因
napkin     n.餐巾；餐巾纸
crew     n.（船上的）全体船员；（飞机上的）全体机组人员等
litter     n.垃圾, 废弃物, 杂物; 杂乱无章, 乱七八糟; 一窝(仔畜); 铺垫物; 猫砂; (动物睡眠用的)褥草; 担架; 轿子
calcium     n.钙
benefit     n.利益，益处，好处；优势，成效；（国家或保险计划按规定支付的）补助费，救济金，抚恤金，保险金
restrict     v.限制，控制；限定某事于（某地、某时、某一类人）
economy     n.经济；经济制度（或结构、情况）；简练，简洁；钱财的节约（或节省）
premium     n.保险费；额外费用，加付款；奖品，赠品，额外津贴；【股票】（高出发行价格、面值或财产实际价值的）溢价
warfare     n.作战；战争；斗争，竞争，冲突
pearl     n.珍珠；珠状物；珍品
stagger     v.蹒跚，踉跄；使吃惊；使震惊；使交错，使错开
communicate     v.（两个人）沟通；传达，传授，传播（信息，消息，想法）；传递信息，交流信息；通信；通讯；有感染力
survive     v.比…活得长；幸存；（危险或苦难之后）活下来；（困境中）坚持下来
tumble     vi.摔下，滚下；翻滚；（价格等）暴跌；不由自主地卷入
tame     adj.驯服的，顺从的；沉闷的，乏味的；【非正式】（人）愿意合作的
slippery     adj.滑的；狡猾的；（词语，概念）含糊的；难以捉摸的
immovable     adj.不动的，固定的，不改变的
urge     v.竭力主张，强烈要求；力劝，恳求；鼓励；鼓动
passion     n.激情，热情
dictate     v.口授, 口述; 使听写; 命令, 发号施令; 支配
diligent     adj.勤勉的，勤奋的
proficient     adj.熟练的；精通的；训练有素的
stubborn     adj.顽固的，执拗的，倔强的
suggest     vt.暗示，委婉地说；建议；唤起，引起；使人想到；表明
exquisite     adj.优美的; 精致的; 赏心悦目的; 精湛的; 有很高造诣的; 灵敏的, 敏锐的; 剧烈的, 尖锐的
treaty     n.（国家间的）条约, 协定
gear     n.排挡；齿轮；传动装置；（某种活动的）设备，用具；衣服
performance     n.（机器，产品或车辆的）性能；工作情况；表现； 表演
legal     adj.法定的；法律的，与法律有关的
parallel     adj.平行的；类似的，对应的；并列的，并联的
doom     n.厄运；毁灭；劫数；死亡
instruct     v.教，指导；指示；命令，吩咐
sociology     n.社会学
erect     v.建造或竖起（楼房、墙壁或建筑物）；创立（理论）；建立（体制）
culture     n.文化，文明；（特定社会团体特有的）态度和行为；栽培，培育
might     aux. v.可能，会，也许
margin     n.边，边沿，边缘；页面的空白边；（超出的）数量；（可能性，成功的）下限；非主体部分；利润
disapprove     v.不赞成，不同意，否决
