cart n.手推车, （两轮或四轮）运货马车, 手拉车
organize v.把…组织起来；使有条理，安排
campus n.【北美】（学校、医院等机构的）场地；大学校园
detective n.刑侦，刑事调查；侦探
utter adj.完全的；彻底的；十足的
dependent adj.依靠的, 依赖的; 取决于…的; 有瘾的
influence n.影响；作用；势力，权势
boast v.自夸，吹嘘；以拥有…而自豪
helpless adj.无法保护自己的，无能为力的
restraint n.控制，限制；（尤指艺术表达中的）低调处理，克制；约束措施，约束条件
tolerant adj.忍受的；容忍的，宽容的，宽恕的；能耐的，耐（受）性的
infect v.传染；【喻】（负面感受或思想）感染，影响，传播给（某人）；污染（空气、水等）
chief adj.（官位，职权）首席的，主任的；主要的，首要的
barely adv.刚刚，才；仅仅，只不过，几乎不
credit n.信用; 赊欠; 信贷; 贷方; 信誉; 赞扬; 荣誉; 学分
theme n.题目，主题；（文艺作品的）主题（思想）
margin n.边，边沿，边缘；页面的空白边；（超出的）数量；（可能性，成功的）下限；非主体部分；利润
migrate v.移动，迁移；（动物，尤指鸟）迁徙，移栖；（鱼）洄游
recreation n.消遣，娱乐
release v.公布，发布（消息）；公开发行（电影、录音制品等）；释放，解放；使（某物）扩散，释放，释出，逸出；出院
perform v.工作；运行；表现；演出，表演；执行（任务）；完成；实施（行动）；履行（职责）
extreme adj.极大的；极度的；不寻常的；例外的；严重的；（人，观点）极端的，偏激的（尤指在政治方面）
heal v.恢复，复原，康复
resolution n.决心，决定；解决；坚决；决议；分辨率
organic adj.（食物，耕种方法）有机的，不使用人工化学品的；器官的；（与）生物体（有关）的；（与）有机体（有关）的
fashionable adj.时尚的，时髦的，流行的
religion n.宗教；宗教信仰
superior adj.较高的；上级的；高质的；占优势的；高标准的；有优越感的，高傲的
grant v.同意；承认；正式地（或合法地）给予（权利，权力，财产等）
cautious adj.小心的，谨慎的
route n.路；路线；线路；航线；途径，渠道
cultivate v.耕作，种植；培养；养成（某种素质或技能）；与（某人）结交；试图赢得…的好感
edit v.编辑，编选，选辑；校订；在电脑上编辑（文本）
federal adj.联邦（制）的；联邦政府的
breed n.品种；类型
unique adj.独一无二的，独特的；稀罕的
resident n.常住居民，定居者；〈北美〉（高级专科）住院医师；〈美〉寄宿制学校学生；无迁徙习性的动物
whereas conj.而，却；反之
frequency n.频度，频率；频繁；（电台广播或传输信号的）频带，波段；（波的）振动频率
highly adv.高度地，非常地；赞许地，有利地
mental adj.精神的；心理的；智力的；精神病的；通过大脑的；在脑中进行的
embarrass v.使尴尬；使困窘；使为难
scan v.反复查看；审视；<美>快读，浏览；扫描；计算机扫描；扫描检查（物体或身体部位等）
peak n.山顶，山峰；顶点，顶峰；峰值，极值；帽舌
nightmare n.噩梦，梦魇；无法摆脱的恐惧；很难对付的人（或事、情况等）
restore v.修复（建筑物、艺术品等）；使恢复原样；使复位；使复职；恢复（权利，做法，情况）；归还
center n.（某方面）最重要的地方；（特定活动的）集中之处，中心
plastic adj.塑料制的；可塑的；不自然的，做作的
calendar n.日程表；计事录；日历
raw adj.（材料，物质）自然状态的；未加工的；（感情，品质）强烈的，坦诚的；（食物）生的；（信息）未经分析的；未经处理的；原始的，第一手的
swell v.膨胀，肿胀；凸出，鼓出；增加，扩大；感情迸发
productive adj.富有生产力的；多产的；富饶的；肥沃的；富有成效的
switch v.替换，改变，转变；改变（立场，方向，焦点）；调动；用开关打开（或关掉）
pose n.（为摄影或画像而摆出的）样子，姿势；装模作样
further adv.（空间或时间上）更远地；进一步地，在更大程度上，在更大范围内；再往前地
exhibit v.展览，展出；表现（某一品质，某种行为）；显示；显露；显出…的征兆（或症状）
efficient adj.（系统或机器）效率高的，高效的
prescription n.处方，药方；开处方，开药方；诀窍，秘诀；权威推荐
rely v.相信，信赖；依靠，依赖，依仗
negotiate v.谈判，洽谈，协商；通过洽谈达成，谈成；通过，越过（险要路段）
automatic adj.（汽车，变速器）自动（变速）的；（装置，流程）自动的
primitive adj.原始的，早期的；远古的；落后的；最基本的，极简单的，质朴的
absorb v.吸收；理解；吸引（某人的注意力），使全神贯注
divide v.隔开，（使）分开；（使）分隔；除，除以
boundary n.【喻】（某些抽象事物的）界限
overnight adv.一夜之间；很快地；在整个夜间
specialist n.医学专家；专科医生
burden n.〈喻〉精神负担；重担，重任
blade n.刀刃，刀片；叶片
notion n.概念；观念；看法，见解；一时的念头；突发的奇想
investigate v.调查；核查，检查（为发现某种情况）；深入研究（多指科学或学术领域）
register v.登记，注册，记录
relevant adj.紧密相关的，切题的，适宜的；（与当前时代环境等）相符的，相称的
engagement n.保证; 约会; 参与; 订婚; 婚约; 受雇, 受聘; 交战, 战斗; 啮合
strive v.努力，奋斗，力争
potential adj.潜在的; 可能的
legend n.传说，传奇；传奇人物
professional adj.职业的；专业的；（人）职业性的；非业余的；有专业人员水平的；与专业人员相称的
horror n.恐惧，惊骇，厌恶；（文学，电影）恐怖作品
