harvest     n.收获（期）；成果，收获物，收成
personnel     n.人事部门；人员，职员
monthly     adj.每月的, 每月一次的, 按月结算的, 有效期为一个月的
dismiss     v.对…不予理会；摒弃，摒除；解雇，免职；解散，遣散；驳回
specification     n.规格，规范，标准；明细单；详细说明书
entitle     v.给予（某人…）的权利；使符合资格；为…命名
accelerate     v.加速，增速
embryo     n.【生】胚胎, 初级阶段, 萌芽时期, 【植】胚
conscious     adj.注意到的，意识到的；清醒的，有知觉的
dig     v.掘（地）, 凿（洞）, 挖（土）, 掘得
pink     adj.粉红色的, 与同性恋者有关的, 政治观点偏左的, 略呈左倾的
spin     v.旋转, 纺纱, 吐丝, 纺线
hedge     v.种树篱围住；设障碍于，阻碍；回避，避免直接回答；采取保值措施以避免损失
chest     n.胸部, 胸膛；箱，大箱子
interrupt     v.中断；打断；插嘴；妨碍
tower     n.塔；塔楼；发射塔
spoil     v.宠坏，溺爱；破坏；（使）腐坏
bay     n.（海或湖的）湾
priest     n.祭司; 神父; 牧师; (基督教教会以外的)神职人员; (某一领域)占有领导地位的人
particle     n.粒子, 颗粒, 微粒, 小品词（与动词构成短语动词的副词或介词）
namely     adv.即, 也就是
nasty     adj.极差的；令人厌恶的，令人不悦的；下流的，肮脏的
tale     n.（尤指充满惊险的）故事, 历险记, （精彩但不一定完全真实的）讲述
servant     n.仆人, 佣人, （公司或机构的）雇员, 奴仆般受制（或献身）于…的人
species     n.[生物]物种，种类
surplus     n.过剩; 剩余; [会计]盈余; 公积金; 顺差
translate     v.翻译, 被翻译, 被译成, （使）转变
functional     adj.实用的, 功能性的, 在起作用的, 正常运转的
scenario     n.方案；设想; 可能发生的事，可能出现的情况，设想的场景；（电影、戏剧等的）剧情梗概
authorize     v.授权, 批准
stake     n.股份; 桩; 赌注; 火刑柱; 利害关系
mortgage     n.按揭贷款；抵押
flag     n.旗, 标志旗, 菖蒲, 旗帜（指某国家或组织及其信仰和价值观）
fourteen     num.十四
gently     adv.温柔地, 温和地, 文静地, 和缓地
statistical     adj.（statistic的变体）统计的, 统计学的
deficit     n.赤字, 逆差, 亏损, 不足额
raw     adj.生的，未加工的；原始的
possess     v.具有; 持有; [律]占有, 支配; 影响, 控制
steel     n.钢, 钢铁工业, 钢制磨刀棒, 兵器
cognitive     adj.认知的, 感知的, 认识的
clue     n.线索；提示
sacrifice     v.牺牲；舍弃；献出；献祭
analyst     n.分析者, 化验员
legend     n.传说,传奇人物,铭文
dose     n.一次, （药的）一剂, 一份, 一点; 剂量, 服用量
hurry     v.赶快, （朝某方向）迅速移动, 催促（某人）, 迅速处理
