responsible     adj.有责任；承担义务的；应受责备；可信任的
rest     n.其余, 剩余部分; 其余的人; 其他事物; 休息; 安息; 平静; 停止, 静止; 支撑物, 支架; 休止, 休止符
desk     n.书桌, 办公桌, 服务台, 写字台
monitor     v.监控, 监视, 监听, 检查
fault     n.故障, 过错, 过失, 缺陷
century     n.世纪, 百年, 100 年, （一个运动员所得的） 100 分
southern     adj.南方的, 向南的, 南部的
yard     n.院子, 场地, 花园
chain     n.链条, 链子, 锁链, 一系列
tiny     adj.极小的, 微小的, 微量的
yellow     adj.黄的, 黄色的, 黄色人种的, 胆怯的
chance     n.机会, 机遇, 偶然, 冒险
unclear     adj.不清楚的, 不确定的, 难以掌握的, 不完全明白
key     n.钥匙；关键点；要诀
channel     n.电视台, 频道, 波段, 途径, 通道，海峡, 水渠, 沟渠
kick     v.踢, 踹, 踢蹬, 踢（腿）
picture     n.照片; 图画; 描绘; (电视或电影的) 图像, 画面; 情况, 局面; 电影
speaker     n.演讲者, 扬声器, 说话者, 发言者
specific     adj.明确的, 确切的; 具体的; 特定的, 特有的
healthy     adj.健康的, 健壮的, 有益于健康的, 反映健康的；正常合理的；兴旺的，发达的；大而成功的，可观的
assistance     n.帮助, 援助, 支持
bedroom     n.卧室, 有…个卧室的
tourist     n.游客, 旅游者, 观光者, （在国外参加）巡回比赛的运动队队员
file     n.档案, 文件夹, 锉, 锉刀
fill     v.填满, 满足, 弥漫, 担任
consequence     n.结果，后果
director     n.董事，经理，理事；负责人，主管；导演
spot     n.斑点; 污渍; 粉刺; 丘疹; 污点; 地点; 场所; 少量; 职位
distance     n.距离, 远处, 间距, 远方
spread     v.传播, 扩散, 展开, 散布
wrong     adj.出错, 搞错, 不道德, 错误的
disappoint     v.（使）失望
environmental     adj.自然环境的；生态环境的；（影响个体或事物行为或发展的）环境的
carefully     adv.仔细地, 小心翼翼的, 诚惶诚恐地, 颇有分寸地
hide     v.藏, 掩盖, 躲避, 遮住
anymore     adv.再也(不)
yeah     adv.同“yes”
disk     n.磁盘
wind     n.风, 气流, （随食物或饮料）吞下的气, 胃气
necessary     adj.必需的, 必要的, 必然的, 无法避免的
treat     v.以……态度对待；把……看做；治疗；处理；招待，款待
route     n.道路；路线；路途；航线；途径，渠道
tree     n.树, 树木, 乔木
particularly     adv.特别, 尤其
pool     n.游泳池; 水塘; 水池; 水洼; (液体等)一摊, 一片; 台球;  共用的资源; 足球赌博; 赌金注总额; 库, 血库; 集合基金; 联合投资
pop     v.（使）发砰砰声, 发爆裂声, （突然或匆匆）去, （迅速或突然）放置
assessment     n.估价；评估
celebrate     v.庆祝, 庆贺；赞美, 颂扬
nice     adj.令人愉快的, 宜人的, 吸引人的, 细微的, 微妙的
possibility     n.可能性，可能；潜力；机会
horse     n.马；(体操用)木马；脚手架；赛马
acid     n.酸
corporation     n.公司，企业
potential     adj.潜在的; 可能的
coffee     n.咖啡色, （烘烤过的）咖啡豆, 咖啡粉, 咖啡（热饮料）
left     adj.左边的，左派的
cold     adj.寒冷的, 未热过的, 已凉的, 冷却的, 冷淡的
legal     adj.合法的，法定的； 法律（上）的
colleague     n.同事, 同行, 同僚
none     pron.没有一个, 毫无
transaction     n.交易，生意；处理，办理
afternoon     n.下午（中午12点至下午6点左右）
preparation     n.准备, 制剂, 预备, 准备工作
effectively     adv.实际上, 有效地, 事实上
stress     n.压力; 紧迫, 紧张; 造成紧张的因素; 强调; 重要性; 重音; 重读; [物]应力
alone     adj.独自, 孤独的, 单独的, 只有
characteristic     n.特性, 特征, 特点, 特色
schedule     n.时间表；工作计划，日程安排；一览表
comfort     n.舒适, 安慰, 慰藉, 舒服
unique     adj.唯一的，独一无二的；罕见的；独具的，特有的
comment     n.评论, 批评, 议论, 解释
limit     n.极限, 限制, 限度, 界限
framework     n.框架；机制；准则
impose     v.推行, (强制)执行; 把…强加于; 迫使接受; 征(税); 利用, 占便宜; 欺骗; 施加影响
animal     n.兽, 牲畜, 动物（不包括鸟、鱼、爬行动物、昆虫和人）
input     n.（时间、知识、资源等）投入，输入；【计】输入；输入的信息
birthday     n.生日
freeze     v.冻结，冷冻；冻僵
submit     v.呈送，递交；顺从，屈服，投降；建议，主张
substantial     adj.大量的；价值巨大的；重大的；大而坚固的；基本上的；实质的
birth     n.出生, 诞生, 分娩, 出身
compete     v.竞争，争夺，参加比赛
literature     n.文学；文学作品；文献，著作，资料
approve     v.赞同；批准，核准
nurse     n.护士, 保姆
secure     adj.安心的；安全的；牢固的；有把握的；稳定的
project     n.工程, 方案, 计划, 生产（或研究等）项目
duty     n.责任, 职责, 义务, 值班, 税
unusual     adj.特别的, 不寻常的, 罕见的, 独特的
arrangement     n.安排, 布置, 整理, 排列
tool     n.工具, 方法, 受人利用的人
season     n.季节, 旺季, 雨季, （一部戏剧在一地的）演出期
sum     n.金额, 款项, 和, 总和, 全部
folk     n.人们，大众；亲属；民间音乐
apparently     adv.显然, 可见, 看来
select     v.选择，挑选，选拔
selection     n.选择，挑选； 被选中者；入选者；可供选择的事物
protect     v.保护, 防护, （制定法律）保护, （通过征关税）保护（国内企业）
urge     v.敦促, 催促; 力劝; 竭力主张, 强烈要求; 驱赶, 鞭策
east     n.东, 东部, 东方, 东边
furniture     n.（可移动的）家具
attractive     adj.迷人的, 楚楚动人的, 吸引人的, 引起兴趣的
gain     v.获得, 增加, 赢得, 取得
bomb     n.炸弹, 核弹, 核武器, 很多钱
user     n.用户, 使用者, 瘾君子, 吸毒者
technical     adj.技术的，工艺的；专业的，专门的
pull     v.拉, 拉动, 拖, 吸引
complain     v.抱怨, 投诉, 埋怨, 发牢骚
occur     v.发生；出现
valuable     adj.贵重的，有价值的；有用的，有益的
serious     adj.严肃的，庄重的；不好的, 严重的, 有危险的；需认真思考的
