ant     n.蚂蚁
divert     v.使转向；使分心，转移（注意力）；供消遣
sensory     adj.感觉的, 感官的
fatigue     n.疲乏，疲劳，疲倦
southeast     adv.在东南, 向东南, 从东南
antibody     n.抗体（血液中抵抗疾病或当某些物质进入身体时产生反应的物质）
breeze     n.微风, 和风, 轻而易举的事
diameter     n.直径
makeup     n.化妆品, 组成, 性格, 体格
aluminum     n.〈美〉铝，同“aluminium”
dense     adj.稠密的，密集的，浓厚的
cheat     v.欺骗；舞弊；蒙骗；与他人有秘密性关系
kingdom     n.王国, 领域, 管辖范围, 自然三界之一
articulate     v.说, 表达, 清晰认真地发音, 【语言学】形成(声音)
ridge     n.脊, 海岭, 山岭
knit     v.编织, 针织, 机织, 织平针
multiply     v.乘；增加；繁殖
sphere     n.范围, 领域; (社会)阶层; (社会)地位; 球体, 球面; 天体; 地球仪; 苍穹
reportedly     adv.据说, 据报道, 据传闻
habitat     n.生长环境, 栖息地; 人类居住地; 海底实验室人员居住的加压舱
bracket     n.支架, 括号, 方括号, 等级
plaster     n.灰泥；熟石膏；创可贴；膏药
gram     n.克(公制基本重量单位)
chromosome     n.染色体
builder     n.营造商, 创建者, 建筑工人, 建筑公司
alternate     adj.交替的，轮流的；间隔的
suppress     v.抑制，阻止；镇压，平定；查禁；封锁；忍住
globalization     n.全球化
modification     n.修改; 改造; 改变; 缓和; 减轻; 修改后的形式, 变体; [语]修饰, 限定
basin     n.盆，脸盆；洗手池；盆地；流域；内港
aggression     n.侵略, 侵犯, 攻击性, 好斗情绪
exceptional     adj.杰出的，优秀的；异常的，特别的
analogy     n.类比；比拟；比喻
defender     n.后卫, 防御者, 防守队员, 守卫者
sponsorship     n.资助, 主办, 赞助款, 倡议
systematic     adj.成体系的；系统的；有条理的；有计划有步骤的
commute     v.（乘公共汽车、火车、汽车等）上下班往返, 减刑, 代偿
continually     adv.不断地
mound     n.土墩, 小丘, 小山岗, 一堆
tomb     n.坟墓, 冢
layout     n.布局，安排，设计
viable     adj.可实施的, 切实可行的, 可生存的, 能独立发展的
artifact     n.人工制品, 【生】(组织结构的)人为现象
flush     v.冲洗，冲走；发红，脸红
accessory     adj.辅助的；副的
thereafter     adv.此后, 之后, 以后
attendant     n.服务员；侍从，随从
niche     n.壁龛, 舒适或称心的工作（或生活等）, （产品的）商机, 市场定位
fond     adj.喜爱的；（回忆）美好的，（想法）不切实际的
velocity     n.速度，速率；高速
regulator     n.监管机构, （速度、温度、压力的）自动调节器
manifest     v.表明，清楚显示；显现，使人注意到
mutation     n.变异, 改变
sadness     n.悲伤, 悲痛, 难过, 使人悲伤（或难过）的事
offset     v.抵消；弥补；补偿
flank     n.侧面；（动物的）胁腹；（军队）侧翼
hunger     n.饥饿, 饥荒, 渴求, 饥饿感
blink     v.眨眼, 忽视, (灯光等)闪烁, 望着
flaw     n.错误，缺点；裂痕，瑕疵
northeast     adv.在东北, 从东北
temporal     adj.世间的, 世俗的, 现世的, 时间的, 暂时的，当时的
inappropriate     adj.不合时宜的, 不适用的, 不适合的, 不正当的
originate     v.起源；发端于；创立；发明
standardize     v.使标准化, 使符合标准（或规格）
noun     n.名词
fossil     n.化石；老人；老顽固，老古董
foul     adj.肮脏恶臭的；很令人不快的；很坏的
stripe     n.条纹, 线条, 杠, 种类
flip     v.按开关；快速翻阅；翻动；投掷
encouragement     n.鼓励, 鼓舞, 起激励作用的事物
rotate     v.（使）旋转，（使）转动；（使）轮流
supportive     adj.给予帮助的, 支持的, 鼓励的, 同情的
sunlight     n.阳光, 日光
nursery     adj.幼儿教育的
axiom     n.公理
probable     adj.很可能发生（或存在等）的
cone     v.使成锥形, 把…卷于锥状体上, (探照灯)集中探照(敌机)
transcribe     v.记录, 抄录, 把…转成（另一种书写形式）, 用音标标音
generalization     n.概括；归纳；泛论
openly     adv.公开地, 毫不隐瞒地
valve     n.阀; 阀门; (心脏的)瓣膜; <主英>电子管, 真空管
geographical     adj.地理的，地理学的
notable     adj.值得注意的；显著的；重要的
friction     n.摩擦，摩擦力；分歧，争执
liter     n.〈美〉同“litre”，升，公升（容量单位）
elicit     v.引出, 探出, 诱出
modem     n.调制解调器
albeit     conj.尽管, 虽然
comprehension     n.理解（力），领悟
disastrous     adj.灾难性的，糟糕透顶的
non     adv.〈外〉非
tumor     n.【医】肿瘤
selfish     adj.自私的
metaphor     n.隐喻, 暗喻
gradient     n.坡度；倾斜度
sunshine     n.阳光, 日光, 欢乐, 幸福
super     adj.顶好的, 超级的, 顶呱呱的
inhibit     v.抑制, 阻止, 阻碍, 使拘束
genetics     n.遗传学
facet     n.方面, （宝石的）小平面
calculus     n.微积分
vacuum     n.真空; 真空吸尘器; 空白, 空虚
vague     adj.模糊的，不明确的；含糊其词的
dominance     n.优势, 控制, 权势, 【生】显性
incur     v.招致, 遭受, 引起, 引致
lord     n.主, 主人, 领主, 大人
cartoon     n.动画片；卡通画，漫画；草图；（报刊上的）幽默画
artwork     n.艺术作品, 插图, 美术品, 插画
accumulate     v.积聚，累加，堆积
memorize     v.记住, 记忆
multi     prefix.多种, 多数
interestingly     adv.有趣的是, 有意思的是, 有趣地
bilingual     adj.流利地讲两种语言的；（文本或活动）双语的，用两种语言进行的；（国家/城市/社区）使用两种语言的（尤指正式地）
delta     n.河口, 三角形物, 三角形接线, 三角(形状)
embody     v.具体表现，体现；代表；包括；收录
emit     v.发出，散发
emperor     n.皇帝, 帝王
cortex     n.皮质, 皮层, （尤指）大脑皮层
unbelievable     adj.不真实的，不可信的；难以置信的，非常好的；极其糟糕的
psychologist     n.心理学家, 心理学研究者
onion     n.【植】洋葱, 圆葱
biologist     n.生物学家
proton     n.质子
unintelligible     adj.难以理解的, 难懂的
confound     v.使困惑惊讶, 使惊疑, 证明…有错, 战胜（敌人）
hop     n.单脚跳行；（动物的）跳跃；（乘飞机）短途旅行；啤酒花；（非正式）舞会
quotation     n.引语，语录；报价
comparative     adj.比较的
correction     n.批改, 修改, 改正; 改正的东西; 惩治, 惩罚; 消除, 抵消; (市场价格)回落; (工商企业)衰退
orchestra     n.管弦乐队
pesticide     n.杀虫剂, 除害药物
enlarge     v.扩大，增大
fundamentally     adv.从根本上, 基础地, 重要地
bucket     n.吊桶, 大量, （有提梁的）桶, 水斗
compact     adj.小型的；袖珍的；紧凑的
connector     n.连接器, 连接物, 连线
equality     n.平等，均等
speculation     n.猜测, 推测, 投机买卖, 推断
lump     n.肿块；（通常为无定形的）块；隆起；笨重的人
skip     v.跳跃，蹦跳；略过，跳过，省略
erect     v.建立；建造；竖起
altitude     n.高度，海拔
impulse     n.冲动，心血来潮；脉冲；冲击；冲量；推动力；刺激
wavelength     n.波长, （广播电台等使用的）频道
composite     n.合成物；混合物；复合材料
reconstruct     v.重建, 修复, 重造, 重现描述
inhabitant     n.居民; 住户; 常住居民; 栖居的动物
receptor     n.受体, 感受器
conceptual     adj.概念（上）的, 观念（上）的
dancer     n.舞蹈演员, 跳舞者
buck     n.雄鹿, （一）美元, （一）澳元, （一）新西兰元
capitalist     n.资本家, 资本主义者
ironically     adv.讽刺地, 出乎意料的是, 意想不到的是
cult     n.崇拜, （有极端宗教信仰的）异教团体, 宗教习俗
optimum     n.最佳效果；最适宜条件
technician     n.技术员, 技师, （艺术、体育等的）技巧精湛者
respectable     adj.体面的；值得尊敬的；相当好的；不丢面子的
contradict     v.反驳；与…矛盾
demonstrator     n.（集会或游行的）示威者, 示范者, 演示者
predator     n.捕食者, 掠夺者, 捕食性动物, 弱肉强食的人（或机构）
singular     adj.单数的；非凡的，突出的；奇特的，异常的
infectious     adj.传染的，感染的；患传染病的；有传染力的
residue     n.残渣, 残留物, 剩余物, 剩余遗产
calorie     n.卡路里（热量单位），大卡
semi     n.一半的, 部分的, 不完全的；半挂车；半独立式的住宅
burial     n.埋葬；葬礼
whichever     pron.无论哪一个, 究竟哪一个
nutrition     n.营养, 滋养, 营养的补给
excellence     n.卓越, 优秀, 杰出
approximate     adj.大约的，近似的
arouse     v.激发, 唤醒, 激起, 激起性欲
intimate     adj.亲密的；密切的；私人的
alternatively     adv.或者
arrow     n.箭头, 箭号
reign     n.君主统治时期；任期
declaration     n.公告，宣言；宣称；声明（书）
flux     n.不断的变动，不停的变化；通量，流动
invisible     adj.看不见的，隐形的；无形的
capillary     n.毛细血管
discourage     v.使气馁，使灰心；劝阻，阻止
denote     v.象征，预示；表示，意指
canoe     n.划艇, 独木舟
definitive     adj.最具权威的，最可靠的；最终的，确定的
smoothly     adv.顺利地, 平稳地, 顺畅地, 圆滑地
snake     n.蜿蜒, 【动】蛇, 〈比喻〉奸诈之人, 卑鄙之人
allocation     n.分配, 拨, 划拨的款项, 拨给的场地
bacterial     adj.细菌的
deviation     n.偏离，背离；偏差；违背
definite     adj.明确的，一定的；确凿的，确切的
secrete     v.分泌, 隐藏
minus     prep.减去
warrior     n.勇士
delicate     adj.精巧的，精致的，精美的；易坏的，易碎的，脆弱的；柔弱的，(人) 娇气的，娇弱的，体弱多病的；清淡的，柔和的；微妙的，需要谨慎处理的
villager     n.村民, 乡村居民, 乡下人
watershed     n.分水岭, 转折点, 分水线, 分水界
plunge     v.（使）突然向前倒下[跌落]；价格、比率等〕暴跌，骤降；〔船〕猛烈地颠簸
practitioner     n.（尤指医学或法律界的）从业人员, 习艺者, 专门人才
pragmatic     adj.实用的, 讲求实效的, 务实的
respective     adj.分别的, 各自的
obsession     n.痴迷, 沉迷, 困扰, 着魔, 使人痴迷的人（或物）
skeptical     adj.(=sceptical) 怀疑的, 心存疑惑的, 将信将疑的
fashionable     adj.流行的, 时兴的, 时髦的, 时髦人物使用的
integral     adj.构成整体所必需的；不可或缺的；完整的；整体的
fatal     adj.致命的；灾难性的；毁灭性的，导致失败的
skull     n.颅骨, 脑袋, 头（盖）骨, 脑子
innate     adj.天生的, 内在的, 心里的
activate     v.激活, 使活动, 使活化
dual     adj.两部分的, 双重的, 双的
feather     n.羽毛, 翎毛
physics     n.物理学
supposedly     adv.据说, 据信, 据传
exponential     adj.指数的, 由指数表示的, 越来越快的
tolerance     n.忍耐力；宽容，容忍；公差
prestigious     adj.有威望的, 声誉高的
unchanged     adj.不变, 没有变化
disposal     n.处理; 解决; 清除; 去掉; 赠送; 转让; 出售; 排列; 布置
dilemma     n.（进退两难的）窘境
ethical     adj.（有关）道德的, 伦理的, 合乎道德的
spectacle     n.精彩表演; 壮观景象; 出人意料的情况; (复数)眼镜
elevate     v.提高，使升高；举起，抬起；提拔，晋升；使精神振奋
elevation     n.海拔；高地；提拔；升高；〔建筑物的〕立面(图)；立视图
socialize     v.交际, 使适应社会, 使社会主义化, 按社会主义原则行事
fracture     n.骨折，断裂；破裂
fierce     adj.猛烈的；激烈的；凶猛的，凶恶的；〔感情〕强烈的，愤怒的；〔冷、热或天气情况〕极度的，极端的
ashamed     adj.羞愧的, 惭愧的, 尴尬的, 因惭愧而不情愿的
primer     n.底漆, 初级读本, 底层涂料, 入门书
chess     n.国际象棋; 雀麦; 浮桥板
endanger     v.使遭受危险；危及，危害
syntactic     adj.句法的
axis     n.轴；轴线；对称轴；坐标轴；轴心
manipulate     v.熟练地操作，使用；（暗中）控制，操纵
miniature     adj.很小的；微型的，小型的
enrich     v.使（某人）更富裕；改善某物的质量、味道等
numerical     adj.数字的；用数字表示的
alteration     n.改变，变更
historically     adv.在历史上
maneuver     n.演习; 机动动作; 花招, 策略; 机动; 调遣
monk     n.僧侣，修道士
landmark     n.陆标, （标志重要阶段的）里程碑, 有历史意义的建筑物（或遗址）
discrete     adj.分离的, 互不相连的; 离散的
comma     n.逗号, 【乐】(一段音乐中的)短暂停顿或间歇
appendix     n.附录；阑尾
shuttle     n.往返航班（班车）；梭子
