adapt     v.（使）适应；改编
adaptation     n.适应，适应性；改编本
adopt     vt.采用；收养，领养
optional     adj.可选择的；随意的
optimistic     adj.乐观的
adjust     v.调整，调节
adjustment     n.调整，调节
just     adj.正义的；正直的；公正的；公平的；精确的
justice     n.正义
adequate     adj.足够需要的，够用的
equal     vt.相等；等于；与……相当
equality     n.同等，平等
adore     vt.喜爱；崇拜，爱慕
adorable     adj.可爱的, 讨人喜欢的
oral     adj.口述的；口头上的
coral     n.珊瑚, 珊瑚虫
moral     adj.道德（上）的
advocate     vt.提倡，倡导
voice     n.嗓音
vocabulary     n.词汇
administration     n.行政部门；行政；管理，经营
minister     n.大臣；部长
ministry     n.（政府的）部；牧师的职责
minimum     adj.最小的，最低极限的
miniskirt     n.迷你裙, 超短裙
minibus     n.小型公共汽车，中客车
admire     vt.钦佩，羡慕
admirable     adj.令人钦佩的，令人羡慕的，值得赞美的
mirror     n.镜子
adolescent     adj.青春期的
adolescence     n.青春期
abolish     vt.废除，废止
adult     n.成人，成年人
acquaintance     n.相识；相识的人
acquire     vt.（尤指通过努力）取得，获得；学到
acquisition     n.(技能、习惯或品质的)习得, 培养; (一家公司对另一家公司的) 收购; 资产获得, 获得物
acknowledge     vt.承认，认可
knowledge     n.知识
edge     n.边沿，边缘
associate     vt.使联系，使关联
association     n.联合; 结合; 关联; 联系; 交往; 联想; 协会; 社团
society     n.社会
social     adj.社会的
socialism     n.社会主义
socialist     adj.社会主义的
assume     vt.假设，设想，以为
assumption     n.假定，臆想
consume     vt.大吃大喝；消耗，花费
summary     n.摘要，概要
assignment     n.（分派的）任务；（指定的）作业；分配；委派；指定；归因；归属
signal     n.信号；暗号
signature     n.签名
significance     n.重要性，重要意义
abandon     v.放弃，丢弃；遗弃
band     n.乐队
bandage     n.绷带
ban     vt.禁止；取缔
bend     v.弯腰，屈身；（使）弯曲
bench     n.长椅，长凳
bind     v.绑；使结合；约束；装订
bound     adj.被束缚的；被绑的；有义务的
boundary     n.边界，分界线
bounce     vi.弹起；跳跃
bond     n.约束；合同；债券；纽带；联系
bunch     n.束，串，札，捆
abundant     adj.充裕的；丰富的
agree     vi.同意，赞同
agreement     n.协议，协定；同意；一致
disagree     vi.意见不一，分歧；不一致
disagreement     n.分歧，意见不同；不调和
greedy     adj.贪婪的
greengrocer     n.果菜商
greet     vt.问候，打招呼
greeting     n.问候；问候语
degree     n.程度；度，度数；学位
abroad     adv.在国外；到国外
broad     adj.宽的；宽大的；广泛的
broaden     v.变宽；拓宽；增长（知识等）
broadcast     vt.广播
aboard     prep.在船（车、飞机）上；上（船、车、飞机）
board     n.木板；黑板；甲板；董事会
blackboard     n.黑板
cupboard     n.碗橱，（放食品等的）小橱
keyboard     n.键盘
skateboard     n.滑板，冰鞋
appeal     vi.呼吁；上诉；迎合，有吸引力
pull     vt.拉
pulse     n.脉搏
approve     v.批准；通过；赞成
approval     n.赞成，同意
approving     adj.赞成的, 同意的
prove     vt.证明，证实
appoint     vt.任命；指定；约定
appointment     n.约会，约定
point     v.指
ballpoint     n.圆珠笔
applaud     vi.鼓掌，喝彩，叫好
applause     n.鼓掌；喝彩
satellite     n.卫星
approximately     adv.大概；大约
appropriate     adj.适当的，合适的，恰如其分的
proper     adj.适当的，正确的
appetite     n.爱好，欲望；食欲，胃口
approach     n.方法，途径
accomplish     vt.完成，实现
accumulate     v.积聚；积累；搜集
accuse     vt.指控，控告；谴责
suitable     adj.适当的；相配的
cause     vt.引起，使发生
because     conj.因为
excuse     n.借口，理由
accustom     v.使习惯
accusation     n.控告, 起诉, 告发, 谴责
customer     n.顾客，消费者
accurate     adj.精确的，准确的；正确无误的
accuracy     n.精确，准确
cure     n.治愈，治疗
custom     n.习俗，风俗
account     n.描述；叙述；账户，账目
