dominance     n.优势, 控制, 权势, 【生】显性
bonus     n.奖金，红利；好处
elasticity     n.弹性, 弹力
flesh     n.肉体；果肉；（动物或人的）肉；情欲
whoever     pron.无论谁, …的那个人（或那些人）, …的任何人, 不管什么人
allocation     n.分配, 拨, 划拨的款项, 拨给的场地
pardon     v.赦免, 特赦, 原谅（表示礼貌时常用的词语）
infectious     adj.传染的，感染的；患传染病的；有传染力的
chemistry     n.化学, 物质的化学组成（或性质）
aggregate     n.合计, 总数
execute     v.处决；执行，实行；完成
snake     n.蜿蜒, 【动】蛇, 〈比喻〉奸诈之人, 卑鄙之人
tropical     adj.热带的，有热带特征的；炎热的
finite     adj.有限的；有限制的
substitution     n.置换, 【化】取代, 【数】代换, 代入
pole     n.杆子；地极；磁极
biologist     n.生物学家
plug     n.插头；塞子
goods     n.商品, 货品, 动产, 私人财产
revolutionary     adj.革命的；革命性的；突破性的；发生重大变革的
atom     n.原子
conception     n.构思；设想；对事物的理解；怀孕，受孕
physiological     adj.生理学(上)的
gauge     v.估计, 判定, 估算, （用仪器）测量
commodity     n.商品；有用的东西；有使用价值的事物
prominent     adj.杰出的；显著的，突出的
translation     n.翻译, 译文, 译本, 转化
junior     adj.年少的; 年轻人的; (美国高中或大学)三年级的; 资历较浅的; 职位(或地位)较低的
expertise     n.专长, 专门知识, 专门技能
communicative     adj.乐意沟通的, 语言交际能力的（尤指用外语）
terribly     adv.非常, 很, 非常地, 很厉害地
tech     abbr.(technology)技术; (technician)技术员, 技师
robot     n.机器人, （尤指故事中的）机器人, 交通信号灯
magnetic     adj.磁的; 磁性的; 产生磁性的; 由磁性引起的; 地磁的; 有吸引力的, 有魅力的
synthesis     n.综合；结合；综合体；合成
cognitive     adj.认知的, 感知的, 认识的
accumulate     v.积聚，累加，堆积
prediction     n.预言；预测；预报，预告
fundamentally     adv.从根本上, 基础地, 重要地
punishment     n.惩罚，处罚
array     n.数组；阵列；一大批
vowel     n.元音, 元音字母
widespread     adj.分布（或散布）广的；普遍的
incumbent     n.在职者, 现任者
contour     n.轮廓, 外形, （地图上连接相同海拔各点的）等高线
soluble     adj.可溶的，易溶解的；可以解决的
unintelligible     adj.难以理解的, 难懂的
likewise     adv.同样地，类似地；也，还，亦
bucket     n.水桶
similarity     n.相似；相似性；相似处
effectiveness     n.效果, 有效性, 效能, 效力
partial     adj.部分的；偏袒的，偏爱的
scenario     n.方案；设想; 可能发生的事，可能出现的情况，设想的场景；（电影、戏剧等的）剧情梗概
treaty     n.（国家间的）条约, 协定
execution     n.执行；实施；实行；处决
sexuality     n.性欲；性倾向
dissection     n.解剖, 分类, 【地】切割作用, 解剖标本
cue     n.暗示，提示
fluid     n.流体, 液, 液体
fusion     n.熔化；聚变；熔合
cyclic     adj.循环的, 周期的
harvest     n.收获（期）；成果，收获物，收成
delta     n.三角洲
slab     n.（石、木等坚硬物质的）厚板, 厚片, 厚块
classroom     n.教室, 教学活动, 教学方法
chemotherapy     n.化疗
forum     n.公共讨论场所；论坛；讨论会
fever     n.发热, 发烧, 狂热, 热（病）
transformation     n.转变, （用于南非）民主改革
statistical     adj.（statistic的变体）统计的, 统计学的
reinforce     v.加强，加固；强化
behavioral     adj.关于行为的
consent     n.同意，许可
mall     n.购物中心，商业街
vague     adj.模糊的，不明确的；含糊其词的
bargain     n.物美价廉的东西; 交易, 买卖; 协定, 协议
terminology     n.术语
directive     n.指示, 命令
tribe     n.部落, 族, （尤指同一职业的）一伙（人）, 大群
explicit     adj.清楚明白的；易于理解的；明确的；直言的
industrialization     n.工业化
reliability     n.可靠性
decay     n.腐烂；衰退
variance     n.变化幅度，差额
predator     n.捕食者, 掠夺者, 捕食性动物, 弱肉强食的人（或机构）
sphere     n.范围, 领域; (社会)阶层; (社会)地位; 球体, 球面; 天体; 地球仪; 苍穹
mediate     v.调解, 调停, 斡旋, 找到（解决分歧的）方法
accumulation     n.积累, 累积物, 〈英〉高低学位的同时获得
notation     n.记谱法, 标记法
hormone     n.激素, 荷尔蒙
differential     n.差别, 差额, 差价, （尤指同行业不同工种的）工资级差
corruption     n.腐败, 贪污, 受贿, 贿赂
vein     n.静脉；纹理，条纹；矿脉；矿层；风格，方式
oscillation     n.振荡，振动，摆动
inequality     n.不平等, 不平衡, 不平均
injection     n.注射，打针；（金钱或资源的）投入
continuity     n.连续（性）；持续（性）
non     adv.〈外〉非
spectrum     n.光谱，声谱，频谱；范围，幅度；系列，层次
paradox     n.悖论, 矛盾的人(或事物、情况)
implicit     adj.含蓄的, 不直接言明的, 成为一部分的, 内含的
uplift     n.抬升, 提高, 上升, 抬高
strand     n.股，缕；（故事情节等的）部分，分支
presume     v.假设，假定，推定；妄行，擅自做；越权行事
differentiate     v.区分, 区别, 辨别, 表明…间的差别
assembly     n.会议；议会；集合，集会；装配
client     n.客户；委托人；当事人；客户端
elementary     adj.基本的，初级的
retrieve     v.重新得到, 收回, 取回; 挽回, 补救; 检索
nominal     adj.名义上的, 有名无实的, 很小的, 象征性的
thermal     adj.热的；热量的；保暖的；温暖的
obscure     adj.无名的，鲜为人知的；难以理解的
solar     adj.太阳的，太阳能的；与太阳有关的
assignment     n.（布置的）作业；（分配的）任务
bubble     n.气泡；水泡
philosophical     adj.哲学的, 达观的, 处乱不惊的
precede     v.先于，（发生、走）在…前面
intensive     adj.加强的，密集的，集中的
alliance     n.联盟, 结盟团体
handout     n.捐赠品，救济品；传单；（发给学生的）课堂讲义
cylinder     n.圆柱体；圆筒状物；（发动机的）气缸
airplane     n.飞机
optical     adj.视力的，视觉的；光学的
elite     n.精英
interval     n.间隔；中场休息
intermediate     adj.中级的；中间的
toxic     adj.有毒的, 中毒的
orient     v.(使)朝向; 给…定向; 以…为方向; 以…为目的, 重视; 使熟悉; 使适应
replacement     n.替换，更换； 替代品；接替者，替代者
fabric     n.结构；织物
interact     v.交流，交往，互动；相互作用，相互影响
ultimate     adj.最后的, 最终的; 极端的, 终极的; 根本的, 基本的; 最大的; 最高的; 合计的
fracture     n.骨折，断裂；破裂
prevalence     n.流行; 普遍; 流行程度
usage     n.使用，利用；利用率；惯用法
equilibrium     n.平衡；均衡；均势；（心情、情绪）平静，安宁
subset     n.子集, 分组, 小组
noble     adj.高尚的，宏伟的；贵族的，高贵的
essence     n.本质，精髓，要素；香精
altitude     n.高度，海拔
vertical     adj.垂直的，纵向的
influential     adj.有权势的，有影响的
susceptible     adj.敏感的; 过敏的; 易动感情的; 易受影响的; 可能有…的
objection     n.反对，有异议；反对的理由
genetics     n.遗传学
